created_at,stage,Information on Loadshedding
5/12/2018 20:57,1,
5/12/2018 9:01,2,
4/12/2018 21:30,0,
4/12/2018 21:01,1,
4/12/2018 9:00,2,
3/12/2018 21:08,0,
3/12/2018 20:17,1,
3/12/2018 9:56,2,
2/12/2018 20:49,0,
2/12/2018 20:25,1,
2/12/2018 8:01,2,
1/12/2018 21:24,0,
1/12/2018 20:55,1,
1/12/2018 16:07,2,
1/12/2018 9:01,1,
30/11/2018 21:01,0,
30/11/2018 9:00,2,
29/11/2018 21:07,0,
29/11/2018 12:06,1,
18/11/2018 20:51,0,
18/11/2018 12:42,1,
16/6/2018 21:05,0,
16/6/2018 17:02,2,
15/6/2018 19:31,0,
15/6/2018 11:32,1,
14/6/2018 20:03,0,
14/6/2018 17:52,1,
14/9/2015 21:25,0,
14/9/2015 19:01,1,
8/8/2015 21:01,0,
8/8/2015 16:58,1,
6/8/2015 21:57,0,
6/8/2015 16:58,2,
6/8/2015 12:01,0,
6/8/2015 6:43,1,
5/8/2015 22:02,0,
5/8/2015 17:10,2,
4/8/2015 21:59,0,
4/8/2015 17:02,2,
3/8/2015 21:57,0,
3/8/2015 17:01,2,
30/7/2015 22:00,0,
30/7/2015 17:17,1,
29/7/2015 22:02,0,
29/7/2015 16:55,1,
26/7/2015 21:18,0,
26/7/2015 8:32,2,
25/7/2015 21:55,0,
25/7/2015 8:21,2,
24/7/2015 22:04,0,
24/7/2015 16:56,2,
24/7/2015 11:55,1,
23/7/2015 22:04,0,
23/7/2015 17:03,2,
22/7/2015 22:01,0,
22/7/2015 17:02,1,
21/7/2015 22:02,0,
21/7/2015 17:02,2,
20/7/2015 22:04,0,
20/7/2015 17:03,1,
19/7/2015 22:01,0,
19/7/2015 8:01,2,
17/7/2015 5:06,0,
16/7/2015 17:02,1,
15/7/2015 22:02,0,
15/7/2015 17:52,2,
15/7/2015 8:31,1,
14/7/2015 22:01,0,
14/7/2015 17:26,1,
10/7/2015 13:47,0,
10/7/2015 8:35,1,
9/7/2015 22:02,0,
9/7/2015 17:01,1,
29/6/2015 22:01,0,
29/6/2015 17:01,1,
28/6/2015 22:00,0,
28/6/2015 8:02,2,
27/6/2015 22:01,0,
27/6/2015 17:02,2,
26/6/2015 22:02,0,
26/6/2015 16:24,2,
25/6/2015 22:00,0,
25/6/2015 16:02,2,
25/6/2015 15:05,1,
24/6/2015 22:01,0,
24/6/2015 16:12,1,
23/6/2015 22:01,0,
23/6/2015 16:15,1,
22/6/2015 22:01,0,
22/6/2015 16:59,2,
22/6/2015 16:01,1,
21/6/2015 21:22,0,
21/6/2015 17:03,1,
20/6/2015 21:03,0,
20/6/2015 18:56,2,
20/6/2015 18:18,3,
20/6/2015 17:34,2,
20/6/2015 17:08,1,
19/6/2015 21:29,0,
19/6/2015 17:28,1,
18/6/2015 22:03,0,
18/6/2015 16:03,1,
17/6/2015 22:02,0,
17/6/2015 17:45,1,
14/6/2015 21:57,0,
14/6/2015 17:02,1,
12/6/2015 22:02,0,
12/6/2015 8:23,2,
12/6/2015 6:19,1,
11/6/2015 21:52,0,
11/6/2015 16:20,2,
11/6/2015 9:40,1,
10/6/2015 21:56,0,
10/6/2015 16:16,2,
10/6/2015 16:11,1,
9/6/2015 21:20,0,
9/6/2015 16:59,1,
8/6/2015 21:38,0,
8/6/2015 17:58,2,
8/6/2015 17:01,1,
7/6/2015 21:34,0,
7/6/2015 17:01,1,
27/5/2015 20:50,0,
27/5/2015 17:00,1,
26/5/2015 22:03,0,
26/5/2015 17:01,1,
25/5/2015 21:47,0,
25/5/2015 17:44,1,
24/5/2015 20:19,0,
24/5/2015 7:00,1,
23/5/2015 21:50,0,
23/5/2015 7:03,2,
22/5/2015 21:53,0,
22/5/2015 12:01,2,
22/5/2015 6:32,1,
21/5/2015 22:01,0,
21/5/2015 14:11,2,
21/5/2015 8:01,1,
20/5/2015 22:00,0,
20/5/2015 17:01,2,
20/5/2015 16:01,1,
19/5/2015 23:31,0,
19/5/2015 23:19,1,
19/5/2015 22:00,0,
19/5/2015 17:04,2,
19/5/2015 16:03,1,
18/5/2015 22:02,0,
18/5/2015 17:03,2,
18/5/2015 16:08,1,
17/5/2015 21:47,0,
17/5/2015 12:03,1,
17/5/2015 7:04,2,
16/5/2015 21:40,0,
16/5/2015 8:19,1,
15/5/2015 22:03,0,
15/5/2015 17:02,1,
14/5/2015 22:01,0,
14/5/2015 17:06,2,
14/5/2015 16:07,1,
13/5/2015 21:47,0,
13/5/2015 16:18,1,
13/5/2015 6:27,0,
12/5/2015 16:01,2,
12/5/2015 6:38,0,
11/5/2015 17:31,2,
11/5/2015 16:39,1,
10/5/2015 21:53,0,
10/5/2015 9:59,1,
10/5/2015 9:58,0,
10/5/2015 7:02,1,
10/5/2015 5:46,0,
9/5/2015 22:03,1,
9/5/2015 22:02,0,
9/5/2015 21:10,1,
9/5/2015 12:01,2,
9/5/2015 9:16,1,
8/5/2015 20:52,0,
8/5/2015 10:10,1,
7/5/2015 21:35,0,
7/5/2015 16:59,2,
7/5/2015 8:39,1,
6/5/2015 21:44,0,
6/5/2015 18:06,2,
6/5/2015 16:18,1,
5/5/2015 21:21,0,
5/5/2015 17:07,1,
4/5/2015 21:27,0,
4/5/2015 17:02,1,
3/5/2015 19:52,0,
3/5/2015 16:59,1,
29/4/2015 20:37,0,
29/4/2015 18:02,1,
23/4/2015 21:41,0,
23/4/2015 20:12,1,
23/4/2015 18:00,2,
23/4/2015 17:00,1,
22/4/2015 21:46,0,
22/4/2015 16:59,1,
21/4/2015 21:49,0,
21/4/2015 17:03,1,
20/4/2015 21:50,0,
20/4/2015 17:04,1,
19/4/2015 21:11,0,
19/4/2015 8:07,1,
18/4/2015 21:46,0,
18/4/2015 9:26,2,
17/4/2015 22:39,0,
17/4/2015 10:01,2,
17/4/2015 5:58,1,
16/4/2015 22:03,0,
16/4/2015 19:06,2,
16/4/2015 5:59,1,
15/4/2015 21:18,0,
15/4/2015 16:05,3,
15/4/2015 7:43,2,
14/4/2015 22:02,0,
14/4/2015 20:57,2,
14/4/2015 18:01,3,
14/4/2015 6:35,2,
13/4/2015 22:14,0,
13/4/2015 16:00,2,
12/4/2015 22:01,0,
12/4/2015 10:03,2,
7/4/2015 21:01,0,
7/4/2015 16:35,1,
26/3/2015 22:00,0,
26/3/2015 12:00,2,
25/3/2015 22:01,0,
25/3/2015 16:09,2,
25/3/2015 16:02,2,
21/3/2015 21:01,0,
21/3/2015 18:41,1,
21/3/2015 9:02,1,
26/2/2015 22:00,0,
26/2/2015 10:11,2,
22/2/2015 20:54,0,
22/2/2015 16:24,1,
21/2/2015 22:01,0,
21/2/2015 8:02,1,
15/2/2015 21:59,0,
15/2/2015 12:00,1,
15/2/2015 8:00,2,
14/2/2015 22:07,0,
14/2/2015 8:01,2,
11/2/2015 22:48,0,
11/2/2015 18:14,2,
11/2/2015 14:13,1,
10/2/2015 22:01,0,
10/2/2015 18:00,1,
9/2/2015 22:03,0,
9/2/2015 16:01,1,
8/2/2015 22:10,0,
8/2/2015 8:01,2,
7/2/2015 22:03,0,
7/2/2015 8:06,2,
6/2/2015 22:04,0,
6/2/2015 8:05,2,
6/2/2015 7:00,0,
5/2/2015 16:12,3,
5/2/2015 8:00,2,
5/2/2015 7:00,0,
4/2/2015 14:45,2,
